generation,rateshifts,jumps,rootstate,jumpvariance
473000,0,1,1.99988,0
474000,0,1,3.47842,0
475000,1,1,2.43248,0
476000,0,1,-2.48312,0
477000,1,1,-0.546495,0
478000,0,1,1.97537,0
479000,0,1,-1.45134,0
480000,0,1,-1.81476,0
481000,0,1,-0.940944,0
482000,0,1,1.31212,0
483000,0,1,0.317604,0
484000,0,1,0.397269,0
485000,2,1,-0.0586687,0
486000,0,1,1.12607,0
487000,1,1,1.63469,0
488000,3,2,3.69999,0
489000,0,2,1.80549,0
490000,0,3,1.80549,0
491000,1,1,-0.179645,0
492000,0,1,0.721272,0
493000,0,1,0.721272,0
494000,0,1,1.20119,0
495000,1,1,0.796763,0
496000,0,1,1.45399,0
497000,0,1,0.849396,0
498000,0,1,3.41756,0
499000,0,1,1.83288,0
500000,0,1,2.8252,0
501000,0,2,3.51285,0
502000,0,1,4.15607,0
503000,1,1,3.32523,0
504000,2,1,0.924055,0
505000,2,1,0.453065,0
506000,0,1,0.212561,0
507000,0,1,-0.0420641,0
508000,0,1,-1.37141,0
509000,0,2,1.30437,0
510000,0,1,2.73112,0
511000,1,1,0.15928,0
512000,0,1,1.95588,0
513000,0,1,3.07443,0
514000,0,1,2.26211,0
515000,1,1,1.78791,0
516000,0,1,1.78791,0
517000,0,1,0.89932,0
518000,1,1,-0.0727156,0
519000,3,1,-0.671588,0
520000,1,1,-0.396654,0
521000,1,1,-0.85338,0
522000,0,1,2.03489,0
523000,2,1,-0.365724,0
524000,2,1,2.52634,0
525000,0,2,-0.689118,0
526000,1,1,-1.75023,0
527000,0,1,-1.53209,0
528000,0,1,1.95861,0
529000,0,1,0.121596,0
530000,0,1,2.53257,0
531000,0,1,1.55242,0
532000,0,1,1.55242,0
533000,0,1,1.55242,0
534000,0,1,2.40392,0
535000,0,1,0.894458,0
536000,1,1,-0.630084,0
537000,1,1,0.61017,0
538000,0,1,0.61017,0
539000,2,1,-0.436422,0
540000,1,1,0.825437,0
541000,1,1,0.461804,0
542000,1,1,0.153635,0
543000,1,2,-0.2567,0
544000,0,1,-0.2567,0
545000,1,1,-1.00009,0
546000,0,1,-2.93766,0
547000,0,1,-0.320316,0
548000,1,1,-1.55297,0
549000,2,1,-1.18637,0
550000,1,2,1.53396,0
551000,1,1,2.1601,0
552000,0,1,2.33169,0
553000,0,1,0.63326,0
554000,1,1,0.957525,0
555000,0,1,0.570093,0
556000,0,1,0.521668,0
557000,1,1,0.597873,0
558000,0,1,0.879956,0
559000,1,1,-0.0112975,0
560000,1,2,0.965272,0
561000,0,1,0.553411,0
562000,1,1,0.676458,0
563000,1,1,-0.555373,0
564000,0,1,-0.555373,0
565000,1,1,-0.555373,0
566000,0,1,0.452181,0
567000,0,1,-1.82535,0
568000,0,1,-0.0645255,0
569000,0,1,1.0449,0
570000,2,2,-0.762053,0
571000,0,1,-0.272832,0
572000,1,1,2.46548,0
573000,1,1,0.53636,0
574000,0,1,-0.207622,0
575000,1,1,-1.6693,0
576000,0,1,-1.6693,0
577000,0,1,-0.785526,0
578000,0,1,0.517293,0
579000,0,1,-0.117397,0
580000,0,1,-1.01452,0
581000,0,1,-1.3026,0
582000,1,2,1.89685,0
583000,0,2,-3.24312,0
584000,0,2,-2.16568,0
585000,1,2,-0.401236,0
586000,1,2,-1.34448,0
587000,1,1,-1.01767,0
588000,0,1,-0.250745,0
589000,1,1,0.45636,0
590000,0,1,-2.00258,0
591000,0,1,0.00709331,0
592000,1,1,-0.116384,0
593000,0,1,-2.24315,0
594000,0,2,-1.69505,0
595000,0,1,0.411815,0
596000,1,1,-2.21125,0
597000,3,1,-1.53049,0
598000,3,1,1.09711,0
599000,1,1,0.0581521,0
600000,0,1,0.409337,0
601000,1,2,-1.13611,0
602000,1,2,-2.09942,0
603000,0,1,0.579773,0
604000,0,1,1.1289,0
605000,0,2,-1.5598,0
606000,0,2,-1.29753,0
607000,0,1,-0.668381,0
608000,0,1,-1.4952,0
609000,0,1,0.880079,0
610000,0,1,-0.474635,0
611000,0,1,-0.809866,0
612000,3,1,-1.64921,0
613000,0,2,2.26986,0
614000,0,1,-1.63856,0
615000,0,1,0.82053,0
616000,1,1,-0.145754,0
617000,2,1,-0.897045,0
618000,0,1,0.229821,0
619000,0,1,0.74755,0
620000,2,1,-5.38025,0
621000,0,1,-3.49955,0
622000,0,1,0.107232,0
623000,1,1,0.107232,0
624000,2,2,0.519655,0
625000,0,1,-0.386807,0
626000,0,1,-0.152853,0
627000,2,1,0.050823,0
628000,1,1,1.88918,0
629000,1,1,1.88918,0
630000,0,1,1.02286,0
631000,1,1,1.02286,0
632000,0,1,-0.171669,0
633000,0,1,0.386369,0
634000,1,2,0.262158,0
635000,0,1,-0.0197227,0
636000,0,1,-0.911314,0
637000,0,1,2.33898,0
638000,0,1,0.904989,0
